kdrama_name,recommendations
Mask Girl,"['Sympathy for Lady Vengeance', 'True Beauty', 'Coffee, Do Me a Favor', 'Old Boy', 'Somebody', 'Forgotten']"
Sing My Crush,"['About Youth', 'Wish You: Your Melody From My Heart', 'Our Dating Sim', 'You Make Me Dance']"
D.P. Season 2,"['Designated Survivor: 60 Days', 'D.P.', 'Weak Hero Class 1']"
Not Others,"[""You're All Surrounded"", 'Hometown Cha-Cha-Cha', 'Live']"
Shadow Detective Season 2,"['WATCHER', 'Stranger', 'Stranger Season 2', 'Reborn Rich']"
Celebrity,"['Little Women', 'The Penthouse: War in Life', 'Followers', 'The Comments', 'Eve', 'Hope or Dope']"
To Be Honest,
Miraculous Brothers,"['Memorist', 'Grid', 'He Is Psychometric', 'I Hear Your Voice', 'W', 'Circle']"
Blue Temperature,
Heartbeat,"['Hotel del Luna', 'Tale of the Nine-Tailed', 'Kissable Lips', '100 Days My Prince', 'The Vampires', 'The Sweet Blood']"
Durian's Affair,"[""Queen In Hyun's Man"", 'Rooftop Prince', 'Live Up to Your Name', ""The Story of Park's Marriage Contract""]"
Revenant,"['Island', 'The Guest', 'Uzukawamura Jiken', 'Possessed', 'Tomorrow', 'The Uncanny Counter']"
Numbers,"['The Devil Judge', 'Misaeng: Incomplete Life', 'Hush', 'Stranger', 'Hanzawa Naoki', 'Suits']"
Lies Hidden in My Garden,"['The Penthouse: War in Life', 'I Want to Know Your Parents', 'Memoir of a Murderer', 'Strangers from Hell', 'Parasite', 'Anna']"
Adult Kids,
See You in My 19th Life,"['To All The Guys Who Loved Me', 'The Beauty Inside', 'Alchemy of Souls Season 2: Light and Shadow', 'Goblin', 'King the Land', 'Bulgasal: Immortal Souls']"
King the Land,"['A Business Proposal', ""What's Wrong with Secretary Kim"", 'Hotel Trainees', 'King2Hearts', 'Stairway to Heaven', 'Save the Last Dance for Me']"
Bloodhounds,"['My Name', 'D.P.', 'Taxi Driver', 'Extracurricular', 'Midnight Runners', 'Bad and Crazy']"
Love Tractor,"['Restart After Come Back Home', 'Boku mo Aitsu mo Shinrodesu', 'A Tale of Thousand Stars', 'Kimi no Koto Dake Mite Itai', 'Tabi Suru Sandwich', ""Cupid's Last Wish""]"
Romance by Romance,
The Villain of Romance,
Sound Candy,
Battle for Happiness,"[""Green Mothers' Club""]"
Bitch X Rich,"['Class of Lies', 'Weak Hero Class 1', 'Revenge of Others', 'Extracurricular', ""Solomon's Perjury 1: Suspicion"", 'Shadow Beauty']"
Delightfully Deceitful,"['Taxi Driver', 'The Confidence Man JP', 'Leverage', '38 Task Force']"
One Day Off,"['Aruku Hito', 'One Million Yen Girl', 'Mystic TV: Surprise', 'Tetsu Ota Michiko, 2 Man Kiro', 'Be Melodramatic', 'Love Shuffle']"
Star Struck,"['A Shoulder to Cry On', 'A First Love Story']"
Oh! Youngsim,"['Sh**ting Stars', 'Love Is for Suckers']"
Black Knight,"['Sweet Home', 'Weak Hero Class 1', 'The Sound of Your Heart', 'Circle', 'The Silent Sea', 'Grid']"
Race,"['Misaeng: Incomplete Life', 'Search: WWW']"
It Was Spring,
Tale of the Nine-Tailed 1938,"['Doom at Your Service', 'The Legend of the Blue Sea', 'Chicago Typewriter', 'Goblin', 'Tale of the Nine-Tailed Season 3', 'My Love from the Star']"
All That We Loved,"['20th Century Girl', 'Reply 1988', 'At a Distance, Spring Is Green']"
Love Mate,"['Semantic Error', 'Happy Merry Ending', 'Our Dating Sim', 'Jun & Jun', 'Love Tractor']"
My Perfect Stranger,"['Nine: Nine Times Time Travel', ""I Don't Want to Be Friends With You"", 'Life on Mars', 'My Strange Hero', 'Tomorrow With You', '18 Again']"
Finland Papa,
Dr. Romantic Season 3,"['D-Day', 'Hospital Playlist', 'Hospital Playlist Season 2', 'Dr. Romantic Season 2', 'Dr. Romantic', 'Code Blue']"
Happy Merry Ending,"['The Eighth Sense', 'Love Mate']"
The Good Bad Mother,"['Again My Life', 'Hanbun, Aoi', 'Once Upon a Small Town', 'Hometown Cha-Cha-Cha', 'Top Star Yoo Baek', 'Summer Strike']"
Queen of Masks,"['Mine', 'Eve']"
My 20th Twenty,
Duty After School: Part 2,"['All of Us Are Dead', 'Kingdom', 'Kingdom Season 2', 'Dark Hole', 'Imawa no Kuni no Alice', 'Imawa no Kuni no Alice Season 2']"
Family: The Unbreakable Bond,"['Flower of Evil', 'Myung Wol the Spy', 'Kill Bok Soon', 'Fated to Love You', 'The Killer: A Girl Who Deserves to Die', 'Terius Behind Me']"
Strong Underdog,
Doctor Cha,"['Twenty Again', 'Emergency Couple', 'Romance Is a Bonus Book', 'Hi Bye, Mama!', 'Wedding', 'Hospital Playlist']"
Queenmaker,"['Reborn Rich', 'Why Her?', 'Kingmaker', 'Money Flower', 'Hot Stove League']"
Bo Ra! Deborah,"['Forecasting Love and Weather', 'A Business Proposal', 'My Lovely Sam Soon', 'Love to Hate You', 'Touch Your Heart', 'Hometown Cha-Cha-Cha']"
Stealer: The Treasure Keeper,"['Leverage', 'Ghost Doctor', 'Kaitou Yamaneko', 'Healer', 'The Silence of the Monster', 'Iljimae']"
Pale Moon,"['Woman of 9.9 Billion', 'Lost']"
Decoy: Part 2,
Duty After School: Part 1,"['All of Us Are Dead', 'Train to Busan', 'Search', 'Sweet Home', 'Imawa no Kuni no Alice', 'Hellbound']"
Joseon Attorney: A Morality,"['Secret Royal Inspector', 'Secret Royal Inspector & Joy', 'Moonshine', 'Lawless Lawyer', 'One Dollar Lawyer', 'Good Manager']"
The Eighth Sense,"['Our Dating Sim', 'Blueming', 'About Youth', 'A Shoulder to Cry On', '180 Degree Longitude Passes Through Us', ""I'm a Cyborg, But That's OK""]"
The Secret Romantic Guesthouse,"['Sungkyunkwan Scandal', 'Flower Crew: Joseon Marriage Agency', 'Hwarang', 'Rookie Historian Goo Hae Ryung', '100 Days My Prince', 'Iljimae']"
Welcome to the Lesbian Bar,"['She Makes My Heart Flutter', 'Shinya Shokudo', 'Our Relationship Ended Before It Began']"
